"","mnth","yr","temp","atemp","hum","windspeed","casual","registered","cnt"
"1",1,0,0.197412790697674,0.203757848837209,0.57405523255814,0.197485029069767,3073,35116,38189
"2",1,1,0.275006747638327,0.27495371120108,0.587314439946019,0.21689689608637,8969,87775,96744
"3",2,0,0.283975346687211,0.285729583975347,0.559707241910632,0.229451309707242,6242,41973,48215
"4",2,1,0.315433526011561,0.314586416184971,0.574248554913295,0.203309537572254,8721,94416,103137
"5",3,0,0.331232876712329,0.324879178082192,0.570054794520548,0.232225342465753,12826,51219,64045
"6",3,1,0.449528936742934,0.438714401076716,0.60771197846568,0.212978196500673,31618,133257,164875
"7",4,0,0.471015299026426,0.456624061196106,0.668219749652295,0.244104728789986,22346,72524,94870
"8",4,1,0.469025069637883,0.45759582172702,0.507896935933148,0.224528133704735,38456,135768,174224
"9",5,0,0.577231182795699,0.550813575268817,0.713360215053763,0.181274193548387,31050,104771,135821
"10",5,1,0.61236559139785,0.580510349462366,0.664556451612903,0.184703494623656,44235,151630,195865
"11",6,0,0.693083333333333,0.646559444444444,0.59325,0.178195416666667,30612,112900,143512
"12",6,1,0.675111111111111,0.629931944444444,0.558361111111111,0.192644444444444,43294,159536,202830
"13",7,0,0.758575268817204,0.710660215053763,0.589663978494624,0.17166747311828,36452,104889,141341
"14",7,1,0.752365591397849,0.697527553763441,0.606088709677419,0.160450268817204,41705,161902,203607
"15",8,0,0.705554035567715,0.65564952120383,0.62562243502052,0.188111901504788,28842,107849,136691
"16",8,1,0.711801075268817,0.647534408602151,0.648629032258065,0.155115860215054,43197,171306,214503
"17",9,0,0.612914923291492,0.568591073919107,0.783821478382148,0.152757043235704,26545,100873,127418
"18",9,1,0.620083333333333,0.590053055555556,0.645375,0.178900833333333,43778,174795,218573
"19",10,0,0.469878869448183,0.45870201884253,0.706541049798116,0.175594481830417,25222,98289,123511
"20",10,1,0.505338983050847,0.489875141242938,0.67159604519774,0.168062146892655,34538,164303,198841
"21",11,0,0.402197496522949,0.399196244784423,0.675215577190542,0.180999860917942,15594,86573,102167
"22",11,1,0.336155988857939,0.335437325905292,0.574805013927577,0.186531615598886,21009,131655,152664
"23",12,0,0.325290148448043,0.330032253711201,0.649527665317139,0.167791228070175,8448,78875,87323
"24",12,1,0.323045822102426,0.322564555256065,0.682681940700809,0.185345552560647,13245,110468,123713
